main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
e쿠폰/티켓,ALL,43,오윈 주유상품권 5천원+100원 캐시백/오윈 신규가입용,100,100,0
e쿠폰/티켓,ALL,44,[파리바게뜨](NEW)(파리바게뜨) 모바일 3만원권,30000,30000,0
식품,ALL,2,2봉/산동고기왕만두1.4kg+김치왕만두1.4kg/만두 간식,17900,17900,0
식품,ALL,3,옥주부 제주돼지 돈까스 10팩,31900,31900,11
식품,ALL,4,고메 함박스테이크 5팩  치즈함박스테이크 5팩 (총 10팩),19900,19900,4
식품,ALL,5,[유동]자연산골뱅이 300g x3개,23700,23700,10
식품,ALL,6,[오뚜기밥]맛있는 오뚜기밥 210g x 24개입(1박스),17500,17500,34
식품,ALL,7,삼진어묵  옛날모듬어묵 1Kg x 3개,24900,24900,30
식품,ALL,8,서울우유  서울멸균우유 1000ml x 10팩,20900,20900,0
식품,ALL,9,초당 옥수수 10개입(17cm이상)/농협,9900,9900,33
식품,ALL,10,[뼈로가는칼슘두유]검은콩 190ml 72팩/두유,24900,24900,10
식품,ALL,11,[파스퇴르]롯데광복무항생제인증바른목장우유190ml 54입  예약상품 2020.08.11 부터 발송,30460,30460,5
식품,ALL,12,[하남쭈꾸미] 신세계 스타필드 입점  하남쭈꾸미 3팩세트,18510,18510,6
식품,ALL,13,[스파클]스파클생수 2L 30병,14600,14600,26
식품,ALL,14,[포스트](해외)오레오오즈500g X 2팩+사은품/허니오즈/씨리얼,17000,17000,0
여행,ALL,2,(공식판매처)캐리비안베이 골드 종일/오후권+에버랜드 자유 이용 무료(~8/30),24900,24900,60
여행,ALL,3,(공식판매처) 에버랜드 종일권 얼리버드 특가 (방문일 지정)(~9/30),30000,30000,46
여행,ALL,4,(공식판매처) 에버랜드 종일이용권+Q패스 3종+1만원 상품권(~8/31),55000,55000,32
여행,ALL,5,(카드10%)에버랜드 캐리비안베이 멀티이용권,29900,29900,0
여행,ALL,6,[한화리조트](문자)설악워터피아 골드시즌 이용권(7/25~8/23)/스파밸리/속초워터피아/속초/강원도/워터파크,35500,35500,38
여행,ALL,7,[에버랜드 꿀잼] 에버랜드 3인/4인 이용권 + 프리미엄 꿀 패키지,98000,98000,3
여행,ALL,8,(카드10%)코엑스아쿠아리움 7월~ (코엑스 아쿠아리움/아쿠아리움/코엑스/삼성),19900,19900,17
여행,ALL,9,|강원 고성군| 아이파크콘도(현대설악)(아이파크/고성/속초/아이파크콘도/현대아이파크/일출/현대설악),60290,60290,2
여행,ALL,10,"|최대 10만원 할인||경기 호텔| 롤링힐스 호텔 (동탄,화성,오산,병점)",127380,127380,0
여행,ALL,11,(공식판매처)캐리비안베이 골드 2/3인 세트권+에버랜드 자유 이용 무료(~8/30),52000,52000,58
여행,ALL,12,(카드10%)롯데월드 종일/AFTER4(오후4시)/AFTER7,23000,23000,52
컴퓨터/전자,ALL,11,[갤럭시]1+1 완벽등급 방수팩 스마트폰/휴대폰/핸드폰/노트9,9900,9900,60
컴퓨터/전자,ALL,12,[대웅모닝컴]대웅 3D 입체회전 리모컨 스탠드 써큘레이터 선풍기,39900,39900,0
컴퓨터/전자,ALL,13,[삼성전자]삼성노트북 NT350XCR-AD5WA 리뷰사은품 최종가64만원대,749000,749000,6
컴퓨터/전자,ALL,14,샤오미 미지아 구강 세정기 4개노즐 200ml물탱크,34900,34900,0
컴퓨터/전자,ALL,15,[로지텍]로지텍 페블 M350 무소음 무선 블루투스 마우스 병행,21330,21330,2
컴퓨터/전자,ALL,16,[윈드피아]14/16/18 가정용 업소용 영업용 스탠드 벽걸이 선풍기,17870,17870,31
